csv_path,timestep_start,annotation
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Borage_GLA240Gamma_Tocopherol_Elastic_medium_upsampled.csv,0,"Gripper approaching towards item, to begin the task."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Borage_GLA240Gamma_Tocopherol_Elastic_medium_upsampled.csv,270,"Fingers pinching the object, using controlled pressure, causing balanced-yielding, with rising force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Borage_GLA240Gamma_Tocopherol_Elastic_medium_upsampled.csv,540,"Gripping mechanism continue capturing target object, using firm contact, causing firm-contact, with rising force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Borage_GLA240Gamma_Tocopherol_Elastic_medium_upsampled.csv,810,"End-effector raising target object, using balanced pressure, causing medium-deformation, with rising force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Borage_GLA240Gamma_Tocopherol_Elastic_medium_upsampled.csv,1080,"Gripping mechanism turning the object, by an angle of 45.0 degrees, using moderate force, causing moderate-compression, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Borage_GLA240Gamma_Tocopherol_Elastic_medium_upsampled.csv,1350,"Gripping mechanism continue turning target object, by an angle of 45.0 degrees, using firm contact, causing medium-deformation, with unchanging force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Borage_GLA240Gamma_Tocopherol_Elastic_medium_upsampled.csv,1620,"Gripping mechanism maintaining hold of item, maintaining a stable hold, using moderate force, causing medium-deformation."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Borage_GLA240Gamma_Tocopherol_Elastic_medium_upsampled.csv,1890,"Gripper twisting the object, by an angle of 45.0 degrees, using firm contact, causing moderate-compression, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Borage_GLA240Gamma_Tocopherol_Elastic_medium_upsampled.csv,2160,"End-effector pausing motion of item, maintaining a stable hold, using moderate force, causing balanced-yielding."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Borage_GLA240Gamma_Tocopherol_Elastic_medium_upsampled.csv,2430,"End-effector continue maintaining hold of the object, maintaining a stable hold, using balanced pressure, causing balanced-yielding."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Borage_GLA240Gamma_Tocopherol_Elastic_medium_upsampled.csv,2700,"Gripping mechanism decelerating motion of item, using forceless methods, causing form-conservation."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium_upsampled.csv,0,"Gripping mechanism initiating towards the object, to begin the task."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium_upsampled.csv,270,"Gripper grasping target object, using moderate force, causing firm-contact, with increasing force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium_upsampled.csv,540,"End-effector continue clasping the object, using firm contact, causing firm-contact, with growing pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium_upsampled.csv,810,"Fingers picking up the object, using balanced pressure, causing moderate-compression, with growing pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium_upsampled.csv,1080,"Gripper rotating the object, by an angle of 30.0 degrees, using moderate force, causing medium-deformation, with steady pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium_upsampled.csv,1350,"Fingers continue turning item, by an angle of 30.0 degrees, using steady force, causing steady-resistance, with steady pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium_upsampled.csv,1620,"Gripping mechanism maintaining hold of the object, maintaining a stable hold, using controlled pressure, causing steady-resistance."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium_upsampled.csv,1890,"End-effector turning item, by an angle of 45.0 degrees, using firm contact, causing medium-deformation, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium_upsampled.csv,2160,"Gripper continue twisting target object, by an angle of 45.0 degrees, using balanced pressure, causing controlled-yielding, with steady pressure."
