csv_path,timestep_start,annotation
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Borage_GLA240Gamma_Tocopherol/Elastic/medium/Borage_GLA240Gamma_Tocopherol_Elastic_medium.csv,0,"End-effector start towards the object, to begin the task."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Borage_GLA240Gamma_Tocopherol/Elastic/medium/Borage_GLA240Gamma_Tocopherol_Elastic_medium.csv,270,"End-effector grasping the object, using moderate force, causing medium-deformation, with increasing force."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Borage_GLA240Gamma_Tocopherol/Elastic/medium/Borage_GLA240Gamma_Tocopherol_Elastic_medium.csv,540,"End-effector continue grasping the object, using moderate force, causing medium-deformation, with increasing force."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Borage_GLA240Gamma_Tocopherol/Elastic/medium/Borage_GLA240Gamma_Tocopherol_Elastic_medium.csv,810,"End-effector lifting the object, using moderate force, causing medium-deformation, with increasing force."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Borage_GLA240Gamma_Tocopherol/Elastic/medium/Borage_GLA240Gamma_Tocopherol_Elastic_medium.csv,1080,"End-effector rotating the object, by an angle of 45.0 degrees, using moderate force, causing medium-deformation, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Borage_GLA240Gamma_Tocopherol/Elastic/medium/Borage_GLA240Gamma_Tocopherol_Elastic_medium.csv,1350,"End-effector continue rotating the object, by an angle of 45.0 degrees, using moderate force, causing medium-deformation, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Borage_GLA240Gamma_Tocopherol/Elastic/medium/Borage_GLA240Gamma_Tocopherol_Elastic_medium.csv,1620,"End-effector holding position of the object, maintaining a stable hold, using moderate force, causing medium-deformation."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Borage_GLA240Gamma_Tocopherol/Elastic/medium/Borage_GLA240Gamma_Tocopherol_Elastic_medium.csv,1890,"End-effector rotating the object, by an angle of 45.0 degrees, using moderate force, causing medium-deformation, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Borage_GLA240Gamma_Tocopherol/Elastic/medium/Borage_GLA240Gamma_Tocopherol_Elastic_medium.csv,2160,"End-effector holding position of the object, maintaining a stable hold, using moderate force, causing medium-deformation."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Borage_GLA240Gamma_Tocopherol/Elastic/medium/Borage_GLA240Gamma_Tocopherol_Elastic_medium.csv,2430,"End-effector continue holding position of the object, maintaining a stable hold, using moderate force, causing medium-deformation."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Borage_GLA240Gamma_Tocopherol/Elastic/medium/Borage_GLA240Gamma_Tocopherol_Elastic_medium.csv,2700,"End-effector stopping the object, using zero-force, causing undeformed shape."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50/Elastic/medium/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium.csv,0,"End-effector start towards the object, to begin the task."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50/Elastic/medium/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium.csv,270,"End-effector grasping the object, using moderate force, causing medium-deformation, with increasing force."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50/Elastic/medium/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium.csv,540,"End-effector continue grasping the object, using moderate force, causing medium-deformation, with increasing force."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50/Elastic/medium/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium.csv,810,"End-effector lifting the object, using moderate force, causing medium-deformation, with increasing force."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50/Elastic/medium/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium.csv,1080,"End-effector rotating the object, by an angle of 30.0 degrees, using moderate force, causing medium-deformation, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/csv/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50/Elastic/medium/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium.csv,1350,"End-effector continue rotating the object, by an angle of 30.0 degrees, using moderate force, causing medium-deformation, with constant force."
